name	state_id	postcode	latitude	longitude	variant_name	status
REDCLIFFE	QLD		-2.7225833890000001e+01	1.5310639950000001e+02		O
PETRIE	QLD		-2.7263055800000000e+01	1.5297499080000000e+02		O
NORTH LAKES	QLD		-2.7224445339999999e+01	1.5301388549999999e+02		O
NEWPORT	QLD		-2.7211111070000001e+01	1.5309054570000001e+02		O
NARANGBA	QLD		-2.7186943050000000e+01	1.5292861940000000e+02		O
MURRUMBA DOWNS	QLD		-2.7270000459999999e+01	1.5300917050000001e+02		O
MORAYFIELD	QLD		-2.7133611680000001e+01	1.5294917300000000e+02		O
MARGATE	QLD		-2.7243055340000002e+01	1.5310250850000000e+02		O
MANGO HILL	QLD		-2.7241111759999999e+01	1.5304750060000001e+02		O
LAWNTON	QLD		-2.7281944280000001e+01	1.5298249820000001e+02		O
KIPPA-RING	QLD		-2.7225555419999999e+01	1.5308444209999999e+02		O
KALLANGUR	QLD		-2.7250278470000001e+01	1.5299639890000000e+02		O
JOYNER	QLD		-2.7274166109999999e+01	1.5293833920000000e+02		O
GRIFFIN	QLD		-2.7273611070000001e+01	1.5304833980000001e+02		O
FERNY HILLS	QLD		-2.7391666409999999e+01	1.5292556759999999e+02		O
EVERTON HILLS	QLD		-2.7390556340000000e+01	1.5297248840000000e+02		O
EATONS HILL	QLD		-2.7340833660000001e+01	1.5293611150000001e+02		O
DECEPTION BAY	QLD		-2.7181943889999999e+01	1.5301306149999999e+02		O
CASHMERE	QLD		-2.7293333050000001e+01	1.5290304570000001e+02		O
CABOOLTURE SOUTH	QLD		-2.7096111300000000e+01	1.5294917300000000e+02		O
BUNYA	QLD		-2.7365278239999999e+01	1.5294528199999999e+02		O
BRENDALE	QLD		-2.7323890689999999e+01	1.5298138430000000e+02		O
BRAY PARK	QLD		-2.7293888089999999e+01	1.5296804810000000e+02		O
ARANA HILLS	QLD		-2.7393333439999999e+01	1.5295471190000001e+02		O
ALBANY CREEK	QLD		-2.7353610990000000e+01	1.5296832280000001e+02		O
UNDERWOOD	QLD		-2.7606945039999999e+01	1.5311277770000001e+02		O
TANAH MERAH	QLD		-2.7670555120000000e+01	1.5316944889999999e+02		O
SPRINGWOOD	QLD		-2.7621389390000001e+01	1.5313722229999999e+02		O
ROCHEDALE SOUTH	QLD		-2.7599166870000001e+01	1.5312973020000001e+02		O
PRIESTDALE	QLD		-2.7607778549999999e+01	1.5316638180000001e+02		O
WOODRIDGE	QLD		-2.7628610609999999e+01	1.5310501099999999e+02		O
WINDAROO	QLD		-2.7745555880000001e+01	1.5319361880000000e+02		O
WATERFORD WEST	QLD		-2.7691387180000000e+01	1.5312805180000001e+02		O
SLACKS CREEK	QLD		-2.7644443509999999e+01	1.5313471980000000e+02		O
SHAILER PARK	QLD		-2.7650554660000001e+01	1.5317556759999999e+02		O
PARK RIDGE	QLD		-2.7704168320000001e+01	1.5306333920000000e+02		O
MOUNT WARREN PARK	QLD		-2.7730833050000001e+01	1.5320582580000001e+02		O
MEADOWBROOK	QLD		-2.7665555950000002e+01	1.5314361570000000e+02		O
MARSDEN	QLD		-2.7673610690000000e+01	1.5309887699999999e+02		O
