region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL515020,38,1257,499,160,1138,1.1,912,2.4
UCL515021,35,1100,581,140,1420,1.1,1066,2.3
UCL515022,37,867,571,150,1414,1.1,1211,2.5
UCL515023,39,1174,430,190,1055,1.1,801,2.4
UCL515024,37,1300,506,160,1181,1.1,955,2.4
UCL515025,30,232,1667,30,2964,1.1,2799,2.8
UCL515026,38,1733,432,220,1132,1.1,906,2.6
UCL515027,45,1700,516,193,1244,1.1,932,2.4
UCL515028,30,300,1498,35,2931,1.1,2836,3.0
UCL515029,40,1950,469,280,1131,1.0,894,2.3
UCL515030,47,927,432,140,1132,1.1,782,2.3
UCL515031,40,1376,464,200,1380,1.1,1008,2.4
UCL515032,29,2500,1316,29,2890,1.2,2771,3.1
UCL515033,38,2057,597,320,1455,1.0,1251,2.6
UCL515034,46,1408,442,200,1030,1.1,856,2.3
UCL521001,37,1768,620,165,2136,1.0,1852,3.0
UCL521002,59,1213,415,200,907,1.0,634,1.9
UCL521003,46,1517,540,230,1162,1.0,1049,2.6
UCL521004,25,0,273,50,695,1.9,1102,4.8
UCL521005,55,867,379,123,805,1.1,622,2.1
UCL521006,24,0,278,50,806,1.7,1149,4.9
UCL521007,37,1850,946,200,2260,1.1,1880,2.7
UCL521008,41,1517,571,120,1396,1.1,1095,2.5
UCL521009,47,737,444,165,1166,1.1,684,2.2
UCL521010,44,1200,396,100,1142,1.1,760,2.2
UCL521011,45,451,457,75,1171,1.1,771,2.2
UCL521012,38,1517,494,200,1168,1.1,1103,2.6
UCL521013,31,2000,674,310,1793,1.1,1776,2.9
UCL521014,36,1800,659,277,2073,1.1,1764,3.3
UCL521015,38,1860,573,300,1423,1.1,1191,2.6
UCL521016,39,867,547,121,1392,1.2,1213,2.3
UCL521017,52,867,546,104,1132,1.0,850,2.0
UCL521018,35,2000,669,290,1434,1.0,1332,2.8
UCL521019,39,997,577,135,1348,1.1,1085,2.3
UCL521020,37,964,701,148,1647,1.0,1160,2.4
UCL521021,48,1005,526,150,1149,1.1,828,2.0
UCL521022,47,1800,385,165,979,1.1,900,2.6
UCL521023,34,1378,585,280,1318,1.1,1149,2.5
